fecha,btc,eth,sol,xrp,ada,bnb,avax,posiciones,entradas,salidas,notas
2026-05-01,FUERA,FUERA,FUERA,FUERA,FUERA,FUERA,FUERA,0,ninguna,ninguna,Primer dia paper
2026-05-02,FUERA,FUERA,FUERA,FUERA,FUERA,FUERA,FUERA,0,ninguna,ninguna,Sin senales
2026-05-03,FUERA,FUERA,FUERA,FUERA,FUERA,FUERA,FUERA,0,ninguna,ninguna,Sin senales
2026-05-06,FUERA,FUERA,FUERA,FUERA,FUERA,FUERA,FUERA,0,ninguna,ninguna,Sin senales
2026-05-07,FUERA,FUERA,FUERA,FUERA,FUERA,FUERA,FUERA,0,ninguna,ninguna,Sin senales
2026-05-08,FUERA,FUERA,FUERA,FUERA,FUERA,FUERA,FUERA,0,ninguna,ninguna,Sin senales
2026-05-09,FUERA,FUERA,FUERA,FUERA,FUERA,FUERA,FUERA,0,ninguna,ninguna,Sin senales
2026-05-10,FUERA,FUERA,FUERA,FUERA,FUERA,FUERA,FUERA,0,ninguna,ninguna,Sin senales
2026-05-11,FUERA,FUERA,FUERA,FUERA,FUERA,FUERA,FUERA,0,ninguna,ninguna,Sin senales
2026-05-12,FUERA,FUERA,FUERA,FUERA,FUERA,FUERA,FUERA,0,ninguna,ninguna,Sin senales
