timestamp,code,side,price,qty,reason,pnl,holding_days,return_pct
2018-10-17,UNH.US,buy,270.3251,1.58,signal,0.0,0,0.0
2018-10-18,UNH.US,sell,267.2163,1.58,signal,-4.9119,1,-1.15
2018-11-08,UNH.US,buy,276.138,0.98,signal,0.0,0,0.0
2018-11-15,UNH.US,sell,263.868,0.98,signal,-12.0246,7,-4.44
2018-11-08,JNJ.US,buy,144.3822,2.4,signal,0.0,0,0.0
2018-11-23,JNJ.US,sell,141.7791,2.4,signal,-6.2474,15,-1.8
2018-10-22,PG.US,buy,86.7734,4.17,signal,0.0,0,0.0
2018-11-23,PG.US,sell,91.2044,4.17,signal,18.4773,32,5.11
2018-11-29,UNH.US,buy,280.5702,1.09,signal,0.0,0,0.0
2018-12-06,UNH.US,sell,272.8835,1.09,signal,-8.3785,7,-2.74
2018-12-14,PG.US,buy,96.4982,4.28,signal,0.0,0,0.0
2018-12-18,PG.US,sell,93.0834,4.28,signal,-14.6153,4,-3.54
2019-02-05,GOOGL.US,buy,56.5097,5.75,signal,0.0,0,0.0
2019-02-08,GOOGL.US,sell,54.7166,5.75,signal,-10.3104,3,-3.17
2019-02-04,PG.US,buy,97.2586,3.8,signal,0.0,0,0.0
2019-03-01,PG.US,sell,98.5607,3.8,signal,4.9479,25,1.34
2019-02-25,V.US,buy,146.9835,2.77,signal,0.0,0,0.0
2019-03-08,V.US,sell,145.3673,2.77,signal,-4.4768,11,-1.1
2019-03-06,GOOGL.US,buy,58.6173,6.17,signal,0.0,0,0.0
2019-03-11,GOOGL.US,sell,57.5712,6.17,signal,-6.4544,5,-1.78
2019-03-07,META.US,buy,171.5857,1.15,signal,0.0,0,0.0
2019-03-11,META.US,sell,171.5142,1.15,signal,-0.0823,4,-0.04
2019-03-13,MSFT.US,buy,114.1871,0.74,signal,0.0,0,0.0
2019-03-22,MSFT.US,sell,119.4403,0.74,signal,3.8874,9,4.6
2019-03-23,ADA-USDT,buy,0.0578,0.467405,signal,0.0,0,0.0
2019-03-24,ADA-USDT,sell,0.0634,0.467405,signal,0.0026,1,9.76
2019-03-12,GOOGL.US,buy,59.1446,6.35,signal,0.0,0,0.0
2019-03-25,GOOGL.US,sell,59.948,6.35,signal,5.1019,13,1.36
2019-03-22,PG.US,buy,102.5312,0.86,signal,0.0,0,0.0
2019-03-25,PG.US,sell,101.6092,0.86,signal,-0.793,3,-0.9
2019-03-22,AAPL.US,buy,48.8594,0.01,signal,0.0,0,0.0
2019-03-26,AAPL.US,sell,47.891,0.01,signal,-0.0097,4,-1.98
2019-03-12,V.US,buy,151.0755,3.28,signal,0.0,0,0.0
2019-03-26,V.US,sell,153.6931,3.28,signal,8.5858,14,1.73
2019-03-28,ADA-USDT,buy,0.067,1225.055415,signal,0.0,0,0.0
2019-04-03,ADA-USDT,sell,0.0854,1225.055415,signal,22.5947,6,27.55
2019-04-03,BTC-USDT,buy,4859.6186,0.021455,signal,0.0,0,0.0
2019-04-12,BTC-USDT,sell,5014.8613,0.021455,signal,3.3307,9,3.19
2019-03-29,PG.US,buy,103.9119,4.96,signal,0.0,0,0.0
2019-04-24,PG.US,sell,103.2683,4.96,signal,-3.1922,26,-0.62
2019-04-02,V.US,buy,157.7388,2.38,signal,0.0,0,0.0
2019-04-26,V.US,sell,161.1794,2.38,signal,8.1885,24,2.18
2019-04-15,AAPL.US,buy,49.6698,2.16,signal,0.0,0,0.0
2019-04-29,AAPL.US,sell,51.0744,2.16,signal,3.034,14,2.83
2019-04-25,GOOGL.US,buy,63.5468,3.55,signal,0.0,0,0.0
2019-04-30,GOOGL.US,sell,59.5017,3.55,signal,-14.3598,5,-6.37
2019-04-25,MSFT.US,buy,130.125,1.01,signal,0.0,0,0.0
2019-05-02,MSFT.US,sell,127.916,1.01,signal,-2.2311,7,-1.7
2019-04-29,V.US,buy,163.2916,1.85,signal,0.0,0,0.0
2019-05-03,V.US,sell,162.2189,1.85,signal,-1.9846,4,-0.66
2019-05-02,AAPL.US,buy,52.4862,0.23,signal,0.0,0,0.0
2019-05-07,AAPL.US,sell,51.4443,0.23,signal,-0.2397,5,-1.99
2019-05-01,JNJ.US,buy,141.0205,1.34,signal,0.0,0,0.0
2019-05-08,JNJ.US,sell,140.1299,1.34,signal,-1.1934,7,-0.63
