trade_date,open,high,low,close,volume
2023-01-01 16:00:00,10.77,11.28,10.71,11.18,427512.415304
2023-01-02 16:00:00,11.18,11.44,11.05,11.41,389299.941565
2023-01-03 16:00:00,11.41,12.13,11.27,12.12,125318.465615
2023-01-04 16:00:00,12.12,12.29,11.74,11.77,116490.193462
2023-01-05 16:00:00,11.77,11.86,11.36,11.6,97783.637394
2023-01-06 16:00:00,11.6,11.87,11.54,11.72,101207.578923
2023-01-07 16:00:00,11.72,11.97,11.58,11.95,69163.654941
2023-01-08 16:00:00,11.95,12.65,11.8,12.55,307223.946721
2023-01-09 16:00:00,12.56,12.96,12.02,12.7,367878.317791
2023-01-10 16:00:00,12.71,12.82,12.26,12.46,168307.367419
2023-01-11 16:00:00,12.46,16.55,12.38,14.97,1537428.710642
2023-01-12 16:00:00,14.97,16.38,14.87,15.66,562925.560637
2023-01-13 16:00:00,15.65,18.55,15.37,16.99,1163621.908677
2023-01-14 16:00:00,17.02,17.1,16.01,17.01,550009.10231
2023-01-15 16:00:00,17.0,17.35,16.05,16.55,626223.230239
2023-01-16 16:00:00,16.55,18.21,16.45,17.75,407332.149407
2023-01-17 16:00:00,17.75,17.75,15.81,16.33,328761.257917
2023-01-18 16:00:00,16.32,16.65,15.44,15.94,375333.353826
2023-01-19 16:00:00,15.94,16.29,15.78,16.18,172836.071877
2023-01-20 16:00:00,16.19,17.75,16.17,17.26,572682.326674
2023-01-21 16:00:00,17.28,18.46,16.8,18.12,380908.893864
2023-01-22 16:00:00,18.12,18.36,17.02,17.5,595456.203444
2023-01-23 16:00:00,17.51,18.96,17.42,18.24,464891.862588
2023-01-24 16:00:00,18.25,18.27,16.53,17.34,409672.370532
2023-01-25 16:00:00,17.34,18.79,17.21,18.06,539149.735047
2023-01-26 16:00:00,18.05,18.32,17.46,18.06,342502.509266
2023-01-27 16:00:00,18.05,21.81,18.05,20.55,1089361.637883
2023-01-28 16:00:00,20.56,21.1,20.14,20.57,502526.264095
2023-01-29 16:00:00,20.57,21.3,19.67,20.42,553409.753271
2023-01-30 16:00:00,20.41,21.26,19.28,19.97,611258.513557
2023-01-31 16:00:00,19.98,20.18,18.7,18.84,369424.343227
2023-02-01 16:00:00,18.85,22.77,18.72,22.16,1484158.945532
2023-02-02 16:00:00,22.15,22.43,20.5,21.64,798474.192885
2023-02-03 16:00:00,21.64,21.77,20.6,21.32,269435.020385
2023-02-04 16:00:00,21.33,21.36,19.85,20.27,302652.480826
2023-02-05 16:00:00,20.27,20.36,19.59,20.33,286341.093404
2023-02-06 16:00:00,20.33,20.43,19.42,20.01,171280.415368
2023-02-07 16:00:00,20.01,21.02,19.7,20.08,354486.411105
2023-02-08 16:00:00,20.08,20.24,19.09,19.62,352227.773547
2023-02-09 16:00:00,19.61,19.65,17.41,17.91,500661.946246
2023-02-10 16:00:00,17.9,18.16,17.62,17.97,111556.788741
2023-02-11 16:00:00,17.99,18.28,17.71,18.23,114267.941872
2023-02-12 16:00:00,18.23,18.49,16.92,17.28,268300.249904
2023-02-13 16:00:00,17.28,18.29,16.83,18.0,279017.863341
2023-02-14 16:00:00,18.01,18.66,17.84,18.55,122995.047813
2023-02-15 16:00:00,18.54,20.39,18.5,20.04,265703.953162
2023-02-16 16:00:00,20.03,20.32,18.48,19.18,344555.564094
2023-02-17 16:00:00,19.18,20.09,18.95,19.73,320935.667167
2023-02-18 16:00:00,19.73,20.38,19.3,20.16,145260.010033
2023-02-19 16:00:00,20.14,21.38,19.03,21.11,592020.728694
2023-02-20 16:00:00,21.12,21.12,19.9,20.61,339948.641647
2023-02-21 16:00:00,20.6,21.66,19.59,19.7,872770.918395
2023-02-22 16:00:00,19.69,20.73,19.58,19.84,304133.058073
2023-02-23 16:00:00,19.84,19.88,18.73,18.83,257043.206647
2023-02-24 16:00:00,18.8,18.82,17.94,18.13,360472.26974
2023-02-25 16:00:00,18.15,18.23,17.43,18.16,176934.262156
2023-02-26 16:00:00,18.16,18.64,17.97,18.33,172290.665906
2023-02-27 16:00:00,18.32,18.39,17.32,17.54,190090.344695
2023-02-28 16:00:00,17.53,17.83,16.94,17.74,175021.252178
2023-03-01 16:00:00,17.73,17.85,17.12,17.3,80264.074985
2023-03-02 16:00:00,17.29,17.5,15.78,16.49,257605.834118
2023-03-03 16:00:00,16.48,16.89,16.37,16.51,80151.937115
