code,entry_date,exit_signal_date,type,entry_close,exit_open_next,ret_pct,exit_day_close_vs_stop_pct,exit_day_ret_pct
BTC-USDT,2019-04-02,2019-04-11,stop_real,4857.2900,5017.3700,3.2957,1.5249,-5.4798
BTC-USDT,2019-04-23,2019-05-11,stop_fantasma,5493.3100,7076.2400,28.8156,7.9435,11.0286
BTC-USDT,2019-05-13,2019-05-17,stop_real,7790.7100,7355.2800,-5.5891,-1.1683,-6.5000
BTC-USDT,2019-05-26,2019-06-04,stop_real,8614.4300,7687.0400,-10.7655,0.0983,-5.2834
BTC-USDT,2019-06-20,2019-06-26,stop_fantasma,9517.1200,13098.3800,37.6297,10.0718,10.7686
BTC-USDT,2020-01-28,2020-02-16,stop_real,9374.2100,9910.7000,5.7230,2.8307,0.1267
BTC-USDT,2020-05-07,2020-05-10,stop_real,9986.4000,8722.7700,-12.6535,-3.9647,-8.5606
BTC-USDT,2020-06-01,2020-06-11,stop_real,10200.7700,9278.8800,-9.0375,0.6716,-6.1163
BTC-USDT,2020-07-27,2020-08-02,stop_real,11029.9600,11071.3600,0.3753,-0.4330,-6.1843
BTC-USDT,2020-08-17,2020-08-25,stop_real,12281.1300,11318.4200,-7.8389,0.8795,-3.6583
BTC-USDT,2020-10-21,2020-11-05,stop_fantasma,12780.9600,15590.0200,21.9785,8.5396,10.2235
BTC-USDT,2020-11-12,2020-11-26,stop_real,16291.8600,17149.4700,5.2640,-0.7024,-8.3852
BTC-USDT,2020-11-30,2020-12-11,stop_real,19695.8700,18036.5300,-8.4248,2.4642,-1.1948
BTC-USDT,2020-12-16,2021-01-04,stop_real,21335.5200,31989.7500,49.9366,8.7938,-3.0647
BTC-USDT,2021-01-06,2021-01-10,stop_real,36769.3600,38150.0200,3.7549,7.6194,-4.8348
BTC-USDT,2021-02-08,2021-02-22,stop_real,46374.8700,54087.6700,16.6314,6.6202,-5.7847
BTC-USDT,2021-03-13,2021-03-24,stop_real,61188.3900,52303.6600,-14.5203,-0.1025,-3.7490
BTC-USDT,2021-04-13,2021-04-18,stop_real,63575.0000,56150.0100,-11.6791,-3.9672,-6.4270
BTC-USDT,2021-08-09,2021-09-07,stop_real,46253.4000,46868.5700,1.3300,-3.4126,-11.0136
