code,entry_date,exit_signal_date,type,entry_close,exit_open_next,ret_pct,exit_day_close_vs_stop_pct,exit_day_ret_pct
BTC-USDT,2023-10-23,2023-11-14,stop_real,33069.9900,35551.2000,7.5029,2.0181,-2.5005
BTC-USDT,2023-12-01,2023-12-05,stop_fantasma,38682.5200,44073.8200,13.9373,6.3018,4.9587
BTC-USDT,2024-01-02,2024-01-03,stop_real,44946.9100,42845.2300,-4.6759,2.0250,-4.6759
BTC-USDT,2024-01-08,2024-01-12,stop_real,46951.0400,42782.7400,-8.8780,-1.6587,-7.6748
BTC-USDT,2024-02-12,2024-02-26,stop_fantasma,49917.2700,54476.4800,9.1335,6.6061,5.3116
BTC-USDT,2024-02-27,2024-02-28,stop_fantasma,57037.3400,62432.1100,9.4583,7.0860,9.4583
BTC-USDT,2024-03-04,2024-03-05,stop_real,68245.7100,63724.0100,-6.6256,0.1054,-6.6256
BTC-USDT,2024-03-11,2024-03-15,stop_real,72078.1000,69499.8400,-3.5770,4.8768,-2.6462
BTC-USDT,2024-10-15,2024-11-03,stop_real,67074.1400,68775.9900,2.5373,0.4200,-0.8631
BTC-USDT,2024-11-06,2024-11-11,stop_fantasma,75571.9900,88648.0000,17.3027,7.1698,10.2998
BTC-USDT,2024-11-13,2024-11-26,stop_real,90375.2000,91965.1600,1.7593,0.9845,-1.1234
BTC-USDT,2024-12-15,2024-12-19,stop_real,104463.9900,97461.8600,-6.7029,-0.6711,-2.7366
BTC-USDT,2025-05-01,2025-05-08,stop_fantasma,96489.9100,103261.6100,7.0180,5.4542,6.4218
BTC-USDT,2025-05-10,2025-05-29,stop_real,104809.5300,105589.7500,0.7444,-0.2255,-2.0338
BTC-USDT,2025-07-10,2025-07-25,stop_real,116010.0000,117614.3100,1.3829,2.3381,-0.6141
BTC-USDT,2025-08-13,2025-08-14,stop_real,123306.4300,118295.0900,-4.0641,0.2803,-4.0641
ETH-USDT,2023-11-05,2023-11-09,stop_fantasma,1891.7100,2121.3300,12.1382,7.3450,12.3509
ETH-USDT,2023-12-02,2023-12-11,stop_real,2164.7400,2225.1100,2.7888,1.3202,-5.4102
ETH-USDT,2024-01-10,2024-01-22,stop_real,2584.3800,2314.1900,-10.4547,-2.9596,-5.8139
ETH-USDT,2024-02-14,2024-03-05,stop_real,2774.8100,3553.6600,28.0686,6.3215,-2.0429
ETH-USDT,2024-03-11,2024-03-15,stop_real,4064.8000,3742.1900,-7.9367,2.0070,-3.5940
ETH-USDT,2024-05-21,2024-06-11,stop_real,3789.6000,3497.3300,-7.7124,-1.5595,-4.6490
ETH-USDT,2024-11-08,2024-11-14,stop_real,2961.7500,3058.8100,3.2771,-0.8050,-4.0268
ETH-USDT,2024-11-27,2024-12-09,stop_real,3653.2800,3712.0000,1.6073,2.6836,-7.2962
ETH-USDT,2025-06-10,2025-06-13,stop_real,2816.4000,2579.1900,-8.4225,0.9182,-2.4014
ETH-USDT,2025-07-10,2025-07-16,stop_fantasma,2951.2900,3371.3500,14.2331,8.4164,7.4400
ETH-USDT,2025-07-17,2025-08-01,stop_real,3476.8700,3488.2100,0.3262,-0.8620,-5.6833
ETH-USDT,2025-08-08,2025-08-18,stop_real,4009.5000,4312.9900,7.5693,-0.5571,-3.5628
ETH-USDT,2025-08-22,2025-08-26,stop_real,4832.0700,4600.6300,-4.7897,6.5769,5.1289
SOL-USDT,2023-10-19,2023-11-10,stop_fantasma,24.9300,56.6700,127.3165,16.5067,25.1270
SOL-USDT,2023-11-15,2023-11-17,stop_real,65.4300,58.5200,-10.5609,7.2830,1.2284
SOL-USDT,2023-12-08,2023-12-11,stop_real,74.9400,70.2400,-6.2717,7.3060,-6.1707
SOL-USDT,2023-12-20,2023-12-26,stop_real,82.2100,112.4800,36.8203,9.1352,-6.9639
SOL-USDT,2024-02-28,2024-03-05,stop_real,119.0300,125.3100,5.2760,6.2805,-5.9728
SOL-USDT,2024-03-07,2024-03-19,stop_real,143.8200,169.8200,18.0782,-1.0984,-13.3218
SOL-USDT,2024-07-21,2024-08-01,stop_real,184.4900,167.3700,-9.2796,1.2860,-2.5275
SOL-USDT,2024-10-20,2024-10-25,stop_real,167.4000,164.9100,-1.4875,1.3453,-6.9361
SOL-USDT,2024-11-06,2024-11-26,stop_real,186.5900,230.6900,23.6347,2.3483,-1.4903
SOL-USDT,2025-01-18,2025-01-20,stop_real,261.9700,242.1800,-7.5543,4.0760,-4.0528
