timestamp,code,side,price,qty,reason,pnl,holding_days,return_pct
2023-10-25,XRP-USDT,buy,0.559,271.27837,signal,0.0,0,0.0
2023-11-08,XRP-USDT,sell,0.6848,271.27837,signal,34.1209,14,22.5
2023-11-07,AVAX-USDT,buy,13.0765,8.020035,signal,0.0,0,0.0
2023-11-14,AVAX-USDT,sell,16.1119,8.020035,signal,24.3441,7,23.21
2023-11-02,ADA-USDT,buy,0.3074,458.916009,signal,0.0,0,0.0
2023-11-15,ADA-USDT,sell,0.3577,458.916009,signal,23.1144,13,16.39
2023-11-07,BNB-USDT,buy,255.2275,0.668516,signal,0.0,0,0.0
2023-11-15,BNB-USDT,sell,242.1789,0.668516,signal,-8.7233,8,-5.11
2023-10-24,BTC-USDT,buy,33086.525,0.00513,signal,0.0,0,0.0
2023-11-15,BTC-USDT,sell,35533.4244,0.00513,signal,12.5526,22,7.4
2023-11-06,ETH-USDT,buy,1892.6559,0.091112,signal,0.0,0,0.0
2023-11-15,ETH-USDT,sell,1978.4103,0.091112,signal,7.8133,9,4.53
2023-10-20,SOL-USDT,buy,24.9325,3.543236,signal,0.0,0,0.0
2023-11-18,SOL-USDT,sell,58.4907,3.543236,signal,118.9049,29,134.6
2023-12-06,ADA-USDT,buy,0.426,297.64132,signal,0.0,0,0.0
2023-12-12,ADA-USDT,sell,0.5504,297.64132,signal,37.0301,6,29.2
2023-11-16,AVAX-USDT,buy,20.7003,3.912262,signal,0.0,0,0.0
2023-12-12,AVAX-USDT,sell,38.021,3.912262,signal,67.7629,26,83.67
2023-12-02,BTC-USDT,buy,38701.8513,0.00492,signal,0.0,0,0.0
2023-12-12,BTC-USDT,sell,41232.7833,0.00492,signal,12.4522,10,6.54
2023-12-03,ETH-USDT,buy,2165.8324,0.073862,signal,0.0,0,0.0
2023-12-12,ETH-USDT,sell,2223.9974,0.073862,signal,4.2962,9,2.69
2023-12-09,SOL-USDT,buy,74.9675,1.409709,signal,0.0,0,0.0
2023-12-12,SOL-USDT,sell,70.2049,1.409709,signal,-6.7139,3,-6.35
2023-12-14,ADA-USDT,buy,0.668,161.112623,signal,0.0,0,0.0
2023-12-18,ADA-USDT,sell,0.5802,161.112623,signal,-14.1496,4,-13.15
2023-12-21,SOL-USDT,buy,82.2611,1.02142,signal,0.0,0,0.0
2023-12-27,SOL-USDT,sell,112.4238,1.02142,signal,30.8087,6,36.67
2023-12-22,AVAX-USDT,buy,45.983,1.532742,signal,0.0,0,0.0
2023-12-30,AVAX-USDT,sell,40.1599,1.532742,signal,-8.9253,8,-12.66
2023-12-22,BNB-USDT,buy,272.2361,0.69263,signal,0.0,0,0.0
2024-01-04,BNB-USDT,sell,315.7421,0.69263,signal,30.1336,13,15.98
2024-01-03,BTC-USDT,buy,44969.3835,0.004606,signal,0.0,0,0.0
2024-01-04,BTC-USDT,sell,42823.8074,0.004606,signal,-9.8825,1,-4.77
2024-01-09,BTC-USDT,buy,46974.5155,0.003916,signal,0.0,0,0.0
2024-01-13,BTC-USDT,sell,42761.3486,0.003916,signal,-16.4988,4,-8.97
2024-01-11,ETH-USDT,buy,2585.6622,0.058027,signal,0.0,0,0.0
2024-01-23,ETH-USDT,sell,2313.0329,0.058027,signal,-15.8199,12,-10.54
2024-03-02,ADA-USDT,buy,0.72,184.960994,signal,0.0,0,0.0
2024-03-06,ADA-USDT,sell,0.692,184.960994,signal,-5.18,4,-3.89
2024-02-16,BNB-USDT,buy,354.4771,0.725366,signal,0.0,0,0.0
2024-03-06,BNB-USDT,sell,393.903,0.725366,signal,28.5981,19,11.12
2024-02-13,BTC-USDT,buy,49942.2386,0.004837,signal,0.0,0,0.0
2024-03-06,BTC-USDT,sell,63692.148,0.004837,signal,66.5083,22,27.53
2024-02-15,ETH-USDT,buy,2776.1874,0.082155,signal,0.0,0,0.0
2024-03-06,ETH-USDT,sell,3551.8832,0.082155,signal,63.7273,20,27.94
2024-02-29,SOL-USDT,buy,119.0895,1.085358,signal,0.0,0,0.0
2024-03-06,SOL-USDT,sell,125.2473,1.085358,signal,6.6835,6,5.17
2024-03-03,XRP-USDT,buy,0.6445,254.271676,signal,0.0,0,0.0
2024-03-06,XRP-USDT,sell,0.591,254.271676,signal,-13.608,3,-8.3
2024-03-07,BNB-USDT,buy,429.6147,0.35177,signal,0.0,0,0.0
2024-03-15,BNB-USDT,sell,602.8984,0.35177,signal,60.956,8,40.33
2024-03-12,BTC-USDT,buy,72114.139,0.002342,signal,0.0,0,0.0
2024-03-16,BTC-USDT,sell,69465.0901,0.002342,signal,-6.2041,4,-3.67
2024-03-12,ETH-USDT,buy,4066.8324,0.037951,signal,0.0,0,0.0
2024-03-16,ETH-USDT,sell,3740.3189,0.037951,signal,-12.3915,4,-8.03
2024-03-12,XRP-USDT,buy,0.7234,162.096412,signal,0.0,0,0.0
2024-03-16,XRP-USDT,sell,0.6338,162.096412,signal,-14.5204,4,-12.38
2024-03-08,SOL-USDT,buy,143.8919,0.726371,signal,0.0,0,0.0
2024-03-20,SOL-USDT,sell,169.7351,0.726371,signal,18.7717,12,17.96
2024-03-12,AVAX-USDT,buy,49.1145,2.14212,signal,0.0,0,0.0
2024-04-03,AVAX-USDT,sell,46.8466,2.14212,signal,-4.8583,22,-4.62
2024-06-05,BNB-USDT,buy,686.0429,0.375239,signal,0.0,0,0.0
2024-06-08,BNB-USDT,sell,683.658,0.375239,signal,-0.8949,3,-0.35
