trade_date,open,high,low,close,volume
2023-01-01 00:00:00,10.9,10.91,10.8,10.82,64374.36
2023-01-01 04:00:00,10.82,10.82,10.68,10.71,207408.08
2023-01-01 08:00:00,10.71,10.76,10.64,10.76,97403.24
2023-01-01 12:00:00,10.76,10.78,10.72,10.77,64518.51
2023-01-01 16:00:00,10.76,10.91,10.74,10.89,94238.05
2023-01-01 20:00:00,10.89,10.94,10.84,10.87,327878.82
2023-01-02 00:00:00,10.87,10.92,10.7,10.84,142437.29
2023-01-02 04:00:00,10.85,11.27,10.83,11.12,357102.31
2023-01-02 08:00:00,11.12,11.2,11.09,11.14,179622.15
2023-01-02 12:00:00,11.15,11.22,11.11,11.18,109320.99
2023-01-02 16:00:00,11.18,11.21,11.13,11.19,82516.75
2023-01-02 20:00:00,11.19,11.27,11.08,11.16,118619.47
2023-01-03 00:00:00,11.16,11.2,11.06,11.14,167308.68
2023-01-03 04:00:00,11.14,11.36,11.14,11.27,164642.59
2023-01-03 08:00:00,11.28,11.37,11.17,11.28,192273.72
2023-01-03 12:00:00,11.29,11.44,11.24,11.41,280924.44
2023-01-03 16:00:00,11.41,11.56,11.26,11.3,268930.18
2023-01-03 20:00:00,11.31,11.4,11.29,11.38,75342.38
2023-01-04 00:00:00,11.38,11.87,11.34,11.82,293905.97
2023-01-04 04:00:00,11.83,12.0,11.73,11.91,296031.3
2023-01-04 08:00:00,11.9,11.99,11.69,11.77,239608.07
2023-01-04 12:00:00,11.78,12.15,11.77,12.12,426427.71
2023-01-04 16:00:00,12.12,12.3,11.95,12.13,403872.89
2023-01-04 20:00:00,12.13,12.14,11.93,12.08,229234.68
2023-01-05 00:00:00,12.09,12.15,11.96,12.1,160643.77
2023-01-05 04:00:00,12.1,12.17,11.95,11.99,197766.19
2023-01-05 08:00:00,11.99,12.02,11.79,11.89,331604.85
2023-01-05 12:00:00,11.9,11.92,11.74,11.77,228856.63
2023-01-05 16:00:00,11.77,11.86,11.71,11.84,134215.0
2023-01-05 20:00:00,11.84,11.86,11.67,11.74,141484.32
2023-01-06 00:00:00,11.74,11.82,11.68,11.68,117953.77
2023-01-06 04:00:00,11.68,11.71,11.48,11.53,151776.57
2023-01-06 08:00:00,11.53,11.59,11.38,11.45,129326.7
2023-01-06 12:00:00,11.45,11.61,11.36,11.6,374728.33
2023-01-06 16:00:00,11.61,11.76,11.53,11.75,255623.64
2023-01-06 20:00:00,11.76,11.82,11.64,11.78,187257.02
2023-01-07 00:00:00,11.79,11.87,11.74,11.81,126962.43
2023-01-07 04:00:00,11.81,11.85,11.74,11.82,70989.13
2023-01-07 08:00:00,11.83,11.84,11.7,11.72,95661.14
2023-01-07 12:00:00,11.71,11.75,11.69,11.72,60331.13
2023-01-07 16:00:00,11.72,11.77,11.65,11.77,79751.03
2023-01-07 20:00:00,11.77,11.78,11.67,11.75,75265.08
2023-01-08 00:00:00,11.75,11.77,11.58,11.67,146898.57
2023-01-08 04:00:00,11.67,11.74,11.66,11.73,72572.0
2023-01-08 08:00:00,11.72,11.87,11.72,11.8,130984.43
2023-01-08 12:00:00,11.8,11.98,11.78,11.94,157993.16
2023-01-08 16:00:00,11.94,11.97,11.79,11.87,143190.67
2023-01-08 20:00:00,11.88,12.16,11.87,12.09,330177.91
2023-01-09 00:00:00,12.09,12.62,12.08,12.51,718002.68
2023-01-09 04:00:00,12.52,12.57,12.41,12.45,264017.07
2023-01-09 08:00:00,12.44,12.59,12.28,12.41,381556.56
2023-01-09 12:00:00,12.42,12.65,12.28,12.54,377803.02
2023-01-09 16:00:00,12.54,12.65,12.32,12.32,464967.09
2023-01-09 20:00:00,12.32,12.36,12.08,12.19,393660.79
2023-01-10 00:00:00,12.19,12.42,12.02,12.31,281140.09
2023-01-10 04:00:00,12.31,12.41,12.25,12.33,170492.24
2023-01-10 08:00:00,12.33,12.57,12.29,12.46,304584.4
2023-01-10 12:00:00,12.45,12.95,12.33,12.71,625520.32
2023-01-10 16:00:00,12.71,12.82,12.57,12.8,280023.66
2023-01-10 20:00:00,12.8,12.82,12.63,12.73,211250.28
2023-01-11 00:00:00,12.73,12.78,12.38,12.46,262987.4
2023-01-11 04:00:00,12.44,12.55,12.38,12.54,166023.6
2023-01-11 08:00:00,12.53,12.56,12.41,12.5,141989.2
2023-01-11 12:00:00,12.49,12.59,12.25,12.47,373875.94
2023-01-11 16:00:00,12.46,15.0,12.37,14.58,4565345.89
2023-01-11 20:00:00,14.58,16.04,14.22,15.86,3786537.39
2023-01-12 00:00:00,15.86,16.5,15.56,15.94,2399737.49
2023-01-12 04:00:00,15.96,16.15,15.22,15.36,1171200.09
2023-01-12 08:00:00,15.35,15.54,15.04,15.22,784788.55
2023-01-12 12:00:00,15.21,15.71,14.65,14.96,1915172.87
2023-01-12 16:00:00,14.97,15.72,14.86,15.31,1431465.42
